id,name,city,phone,website,verified
6882,Autism Rescue Mission,Miami,(786) 525-9292,http://www.autismrescuemission.com/,true
8612,Behavioral Evaluation Program,Clearwater,(727) 464-7373,null,false
6907,Behavioral Health Solutions,Tallahassee,(850) 552-0691,http://www.behavioralhealthtallahassee.com/,true
5827,Brain & Behavioral Institute of South Florida,Miami,(786) 866-5914,http://bbisf.com/,true
7357,Brighter Minds Behavioral Health LLC,Lake Worth Beach,(561) 444-2814,https://www.brightermindsbh.com/,false
6624,Children Autism Help,Miami,(786) 878-1331,https://childrenautismhelp.com/,true
9088,Dandelion Behavioral Health - Fort Myers,Fort Myers,(941) 780-4268,https://dandelionbehavioral.com/,false
9099,Family Enrichment Behavioral Health Services,Hollywood,(954) 367-3600,http://www.febhs.org/,false
6560,Infinite Spectrum Foundation Inc.,Tallahassee,(850) 270-3151,https://infinitespectrumfoundation.org/,true
8873,"Lighthouse Behavioral Health, LLC",Ormond Beach,(386) 492-9041,https://www.lighthousebh.net/,false
7047,"My Autism Connection, Inc. (MAC)",Fort Myers,(239) 288-6070,http://myautismconnection.net/,false
6719,Onyx Behavioral Health,Port St. Lucie,(888) 242-5716,https://onyxbh.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb,true
7133,Rainbow of Life Behavioral Health Center,Lake Worth Beach,(561) 506-3665,http://www.rainbowoflifebhc.com/,false
6575,Resilience Behavioral Health LLC,Winter Park,(407) 459-0474,https://www.resiliencebh.com/,true
6645,Seeds of Hope Behavioral Health,Coral Gables,(786) 245-4463,http://seedsofhopebh.com/,true
8978,South Brevard Behavioral Med,Palm Bay,(321) 676-3474,null,false
6974,Southeastern Behavioral Health,Tallahassee,(850) 296-3665,http://www.sebhfl.com/,true
6842,Spectrum Research Group,Port Orange,(844) 914-4357,http://www.spectrumresearchgroup.com/,true
6518,Step-by-Step Behavioral Health Services,Gainesville,(888) 763-7837,http://step-by-stepbehaviorhealth.com/,true
7349,The Kelly Behavioral Institute,Belle Isle,(407) 893-0242,http://kellybehavioralinstitute.com/,false
